mode,step,count,MAE,MSE,MeanError
iterative,1,10,56793.53415176228,5405384739.013256,-51679.76504031767
iterative,2,8,49554.46097568516,4966031594.505777,-41400.31199488824
iterative,3,6,51024.635873624975,3525686889.8645186,-50350.05303104074
iterative,4,4,56823.02748420136,3362777596.6814127,-56823.02748420136
iterative,5,3,68924.63813945015,4807671420.278272,-68924.63813945015
iterative,6,2,76383.50299906591,6177278953.281771,-76383.50299906591
iterative,7,1,78033.54624307388,6089234339.26995,-78033.54624307388
multi,1,10,56752.511472306425,5369463416.921249,-50206.541070783904
multi,2,8,79774.3077090655,13574947354.409012,-74509.04317126214
multi,3,6,94468.21500076256,11596742505.025414,-74289.99142689766
multi,4,4,137641.57159760938,25858382527.462566,-137641.57159760938
multi,5,3,90302.97044955085,12520701823.36644,-85787.42514581063
multi,6,2,118214.68473357662,19758935015.822735,-118214.68473357662
multi,7,1,149142.09469863027,22243364411.0952,-149142.09469863027
single,1,10,64114.540654911194,7025210461.685602,-52507.881248785925
